,file_path,gender_category,emotion_label
0,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-05-01-02-01-16.wav,female,angry
1,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-06-01-02-02-16.wav,female,fear
2,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-06-02-01-02-16.wav,female,fear
3,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-05-02-01-01-16.wav,female,angry
4,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-07-01-01-01-16.wav,female,disgust
5,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-04-01-01-02-16.wav,female,sad
6,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-04-02-02-02-16.wav,female,sad
7,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-07-02-02-01-16.wav,female,disgust
8,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-03-02-02-02-16.wav,female,happy
9,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-03-01-01-02-16.wav,female,happy
11,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-03-02-01-01-16.wav,female,happy
12,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-03-01-02-01-16.wav,female,happy
14,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-06-01-01-01-16.wav,female,fear
15,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-05-01-01-02-16.wav,female,angry
16,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-05-02-02-02-16.wav,female,angry
17,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-06-02-02-01-16.wav,female,fear
18,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-04-01-02-01-16.wav,female,sad
19,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-07-01-02-02-16.wav,female,disgust
20,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-07-02-01-02-16.wav,female,disgust
21,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-04-02-01-01-16.wav,female,sad
23,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-03-01-01-01-16.wav,female,happy
24,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-03-02-02-01-16.wav,female,happy
25,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-07-02-02-02-16.wav,female,disgust
26,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-04-02-02-01-16.wav,female,sad
27,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-04-01-01-01-16.wav,female,sad
28,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-07-01-01-02-16.wav,female,disgust
29,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-05-02-01-02-16.wav,female,angry
30,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-06-02-01-01-16.wav,female,fear
31,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-06-01-02-01-16.wav,female,fear
32,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-05-01-02-02-16.wav,female,angry
33,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-04-02-01-02-16.wav,female,sad
34,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-07-02-01-01-16.wav,female,disgust
35,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-07-01-02-01-16.wav,female,disgust
36,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-04-01-02-02-16.wav,female,sad
37,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-06-02-02-02-16.wav,female,fear
38,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-05-02-02-01-16.wav,female,angry
39,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-05-01-01-01-16.wav,female,angry
40,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-06-01-01-02-16.wav,female,fear
42,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-03-01-02-02-16.wav,female,happy
43,./Ravdess/audio_speech_actors_01-24/Actor_16/03-01-03-02-01-02-16.wav,female,happy
45,./Ravdess/audio_speech_actors_01-24/Actor_11/03-01-03-01-01-02-11.wav,male,happy
46,./Ravdess/audio_speech_actors_01-24/Actor_11/03-01-03-02-02-02-11.wav,male,happy
47,./Ravdess/audio_speech_actors_01-24/Actor_11/03-01-04-02-02-02-11.wav,male,sad
